Employee #,Name,Reports to 1,Reports to 2,Reports to 3,Reports to 4,Reports to 5,Reports to 6,Reports to 7,Reports to 1 Level,Reports to 2 Level,Reports to 3 Level,Reports to 4 Level,Reports to 5 Level,Reports to 6 Level,Reports to 7 Level,Director,E-1,First Executive,Executive,Skip Level Manager,Employee Status
EMP00173,Sam Nelson,EMP00013,EMP00002,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00013,EMP00002,EMP00002,EMP00001,,Active
EMP00174,Dylan Robinson,EMP00162,EMP00011,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00011,,EMP00001,EMP00001,,Contractor
EMP00175,Olivia Baker,EMP00023,EMP00014,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00014,,EMP00003,EMP00001,,Terminated
EMP00176,Luna Sanchez,EMP00157,EMP00009,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00177,Luke Nelson,EMP00024,EMP00010,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00010,,EMP00005,EMP00001,,Active
EMP00178,Finn Davis,EMP00014,EMP00003,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00014,,EMP00003,EMP00001,,Active
EMP00179,Nate Baker,EMP00112,EMP00012,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00012,,EMP00005,EMP00001,,Active
EMP00180,Reid Gonzalez,EMP00008,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00008,,EMP00005,EMP00001,,Active
EMP00181,James Stewart,EMP00012,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00012,,EMP00005,EMP00001,,Active
EMP00182,Nicole Phillips,EMP00024,EMP00010,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00010,,EMP00005,EMP00001,,Active
EMP00183,Luna Lewis,EMP00162,EMP00011,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00011,,EMP00001,EMP00001,,Active
EMP00184,Jessica Allen,EMP00014,EMP00003,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00014,,EMP00003,EMP00001,,Active
EMP00185,Ivy Perez,EMP00009,EMP00003,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00186,Hazel Brown,EMP00185,EMP00009,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00187,Kai Adams,EMP00060,EMP00010,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00010,,EMP00005,EMP00001,,Contractor
EMP00188,Ryan Miller,EMP00152,EMP00008,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00008,,EMP00005,EMP00001,,Active
EMP00189,Nate Smith,EMP00185,EMP00009,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00190,Violet Murphy,EMP00009,EMP00003,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00191,Violet Lewis,EMP00009,EMP00003,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00192,Avery Stewart,EMP00011,EMP00001,,,,,,Level 1,Level 2,,,,,,EMP00011,,EMP00001,EMP00001,,Active
EMP00193,Riley Cook,EMP00009,EMP00003,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00194,Aurora Robinson,EMP00151,EMP00008,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00008,,EMP00005,EMP00001,,Active
EMP00195,Drew Rogers,EMP00012,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00012,,EMP00005,EMP00001,,Active
EMP00196,Emerson Turner,EMP00193,EMP00009,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00197,Avery Carter,EMP00012,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00012,,EMP00005,EMP00001,,Active
EMP00198,Tyler Allen,EMP00162,EMP00011,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00011,,EMP00001,EMP00001,,Active
EMP00199,Kevin Jackson,EMP00134,EMP00013,EMP00002,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00013,EMP00002,EMP00002,EMP00001,,Active
EMP00200,Hazel Turner,EMP00151,EMP00008,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00008,,EMP00005,EMP00001,,Active
EMP00201,June Wright,EMP00047,EMP00014,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00014,,EMP00003,EMP00001,,Active
EMP00202,Riley Mitchell,EMP00185,EMP00009,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00203,David Hernandez,EMP00162,EMP00011,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00011,,EMP00001,EMP00001,,Active
EMP00204,Luke Williams,EMP00008,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00008,,EMP00005,EMP00001,,Active
EMP00205,Ash Williams,EMP00152,EMP00008,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00008,,EMP00005,EMP00001,,Active
EMP00206,June Jackson,EMP00012,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00012,,EMP00005,EMP00001,,Active
EMP00207,Ryan Lopez,EMP00010,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00010,,EMP00005,EMP00001,,Active
EMP00208,Chris Carter,EMP00013,EMP00002,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00013,EMP00002,EMP00002,EMP00001,,Active
EMP00209,Jason Turner,EMP00112,EMP00012,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00012,,EMP00005,EMP00001,,Active
EMP00210,Reid Gonzalez,EMP00151,EMP00008,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00008,,EMP00005,EMP00001,,Active
EMP00211,Finn Allen,EMP00013,EMP00002,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00013,EMP00002,EMP00002,EMP00001,,Active
EMP00212,Riley Anderson,EMP00162,EMP00011,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00011,,EMP00001,EMP00001,,Active
EMP00213,Hannah Hill,EMP00024,EMP00010,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00010,,EMP00005,EMP00001,,Active
EMP00214,Lauren Anderson,EMP00056,EMP00009,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00215,Brian Hill,EMP00009,EMP00003,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00216,Ben Garcia,EMP00208,EMP00013,EMP00002,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00013,EMP00002,EMP00002,EMP00001,,Active
EMP00217,Zoe Rodriguez,EMP00112,EMP00012,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00012,,EMP00005,EMP00001,,Terminated
EMP00218,Wren Clark,EMP00056,EMP00009,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00219,Rowan Rivera,EMP00008,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00008,,EMP00005,EMP00001,,Active
EMP00220,Blake White,EMP00204,EMP00008,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00008,,EMP00005,EMP00001,,Active
EMP00221,Ashley Campbell,EMP00060,EMP00010,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00010,,EMP00005,EMP00001,,Active
EMP00222,Rowan Ramirez,EMP00060,EMP00010,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00010,,EMP00005,EMP00001,,Active
EMP00223,Kevin Williams,EMP00023,EMP00014,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00014,,EMP00003,EMP00001,,Active
EMP00224,Emily Scott,EMP00060,EMP00010,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00010,,EMP00005,EMP00001,,Active
EMP00225,Daniel Collins,EMP00112,EMP00012,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00012,,EMP00005,EMP00001,,Active
EMP00226,Noah Baker,EMP00134,EMP00013,EMP00002,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00013,EMP00002,EMP00002,EMP00001,,Active
EMP00227,Nate Thompson,EMP00185,EMP00009,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00228,Michael Mitchell,EMP00055,EMP00012,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00012,,EMP00005,EMP00001,,Active
EMP00229,Isla Collins,EMP00162,EMP00011,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00011,,EMP00001,EMP00001,,Active
EMP00230,Ash Miller,EMP00024,EMP00010,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00010,,EMP00005,EMP00001,,Active
EMP00231,Ethan Nguyen,EMP00204,EMP00008,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00008,,EMP00005,EMP00001,,Active
EMP00232,Luna Young,EMP00011,EMP00001,,,,,,Level 1,Level 2,,,,,,EMP00011,,EMP00001,EMP00001,,Active
EMP00233,Ethan White,EMP00011,EMP00001,,,,,,Level 1,Level 2,,,,,,EMP00011,,EMP00001,EMP00001,,Active
EMP00234,Michael Harris,EMP00157,EMP00009,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00235,Drew Nelson,EMP00013,EMP00002,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00013,EMP00002,EMP00002,EMP00001,,Active
EMP00236,Liam Miller,EMP00134,EMP00013,EMP00002,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00013,EMP00002,EMP00002,EMP00001,,Active
EMP00237,Kayla Campbell,EMP00162,EMP00011,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00011,,EMP00001,EMP00001,,Active
EMP00238,Blake Ramirez,EMP00023,EMP00014,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00014,,EMP00003,EMP00001,,Active
EMP00239,Wren Stewart,EMP00112,EMP00012,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00012,,EMP00005,EMP00001,,Active
EMP00240,Liam Thomas,EMP00157,EMP00009,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00241,Daniel Baker,EMP00012,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00012,,EMP00005,EMP00001,,Active
EMP00242,Samantha Garcia,EMP00056,EMP00009,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00243,Rachel Gonzalez,EMP00193,EMP00009,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00009,,EMP00003,EMP00001,,Contractor
EMP00244,Zoe Mitchell,EMP00157,EMP00009,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00245,Ash Davis,EMP00011,EMP00001,,,,,,Level 1,Level 2,,,,,,EMP00011,,EMP00001,EMP00001,,Active
EMP00246,Lily Nelson,EMP00009,EMP00003,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00247,Kevin Torres,EMP00134,EMP00013,EMP00002,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00013,EMP00002,EMP00002,EMP00001,,Active
EMP00248,Morgan Adams,EMP00208,EMP00013,EMP00002,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00013,EMP00002,EMP00002,EMP00001,,Active
EMP00249,Wren Carter,EMP00011,EMP00001,,,,,,Level 1,Level 2,,,,,,EMP00011,,EMP00001,EMP00001,,Active
EMP00250,Jason Green,EMP00013,EMP00002,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00013,EMP00002,EMP00002,EMP00001,,Active
EMP00251,Will Jones,EMP00009,EMP00003,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00252,Miles Rivera,EMP00245,EMP00011,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00011,,EMP00001,EMP00001,,Terminated
EMP00253,Noah Evans,EMP00010,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00010,,EMP00005,EMP00001,,Leave of Absence
EMP00254,Morgan Evans,EMP00171,EMP00008,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00008,,EMP00005,EMP00001,,Active
EMP00255,Sarah Phillips,EMP00193,EMP00009,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00256,Aria King,EMP00047,EMP00014,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00014,,EMP00003,EMP00001,,Active
EMP00257,Michael Walker,EMP00012,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00012,,EMP00005,EMP00001,,Active
EMP00258,Kayla Jones,EMP00185,EMP00009,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00259,Riley Morgan,EMP00011,EMP00001,,,,,,Level 1,Level 2,,,,,,EMP00011,,EMP00001,EMP00001,,Active
EMP00260,Leo Johnson,EMP00250,EMP00013,EMP00002,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00013,EMP00002,EMP00002,EMP00001,,Active
EMP00261,Avery Robinson,EMP00013,EMP00002,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00013,EMP00002,EMP00002,EMP00001,,Active
EMP00262,Rachel Gonzalez,EMP00152,EMP00008,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00008,,EMP00005,EMP00001,,Active
EMP00263,Finn Moore,EMP00047,EMP00014,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00014,,EMP00003,EMP00001,,Active
EMP00264,Tyler Torres,EMP00024,EMP00010,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00010,,EMP00005,EMP00001,,Active
EMP00265,Matt Nelson,EMP00047,EMP00014,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00014,,EMP00003,EMP00001,,Active
EMP00266,Jessica Rodriguez,EMP00009,EMP00003,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00267,Cole Walker,EMP00208,EMP00013,EMP00002,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00013,EMP00002,EMP00002,EMP00001,,Active
EMP00268,Miles Sanchez,EMP00261,EMP00013,EMP00002,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00013,EMP00002,EMP00002,EMP00001,,Active
EMP00269,Sage Harris,EMP00152,EMP00008,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00008,,EMP00005,EMP00001,,Active
EMP00270,Aurora Garcia,EMP00245,EMP00011,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00011,,EMP00001,EMP00001,,Active
EMP00271,Daniel Turner,EMP00011,EMP00001,,,,,,Level 1,Level 2,,,,,,EMP00011,,EMP00001,EMP00001,,Active
EMP00272,Aria Phillips,EMP00008,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00008,,EMP00005,EMP00001,,Active
EMP00273,Peyton Carter,EMP00135,EMP00010,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00010,,EMP00005,EMP00001,,Active
EMP00274,Casey Carter,EMP00056,EMP00009,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00275,James Parker,EMP00261,EMP00013,EMP00002,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00013,EMP00002,EMP00002,EMP00001,,Active
EMP00276,Drew Morgan,EMP00251,EMP00009,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00277,Ashley Johnson,EMP00162,EMP00011,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00011,,EMP00001,EMP00001,,Active
EMP00278,Daniel Mitchell,EMP00162,EMP00011,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00011,,EMP00001,EMP00001,,Terminated
EMP00279,Quinn Morris,EMP00162,EMP00011,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00011,,EMP00001,EMP00001,,Active
EMP00280,Rachel Green,EMP00013,EMP00002,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00013,EMP00002,EMP00002,EMP00001,,Active
EMP00281,Chloe Edwards,EMP00047,EMP00014,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00014,,EMP00003,EMP00001,,Active
EMP00282,Ezra Harris,EMP00013,EMP00002,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00013,EMP00002,EMP00002,EMP00001,,Active
EMP00283,Ben Moore,EMP00135,EMP00010,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00010,,EMP00005,EMP00001,,Active
EMP00284,Lauren Jones,EMP00011,EMP00001,,,,,,Level 1,Level 2,,,,,,EMP00011,,EMP00001,EMP00001,,Active
EMP00285,Luke Stewart,EMP00246,EMP00009,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00286,Rachel Roberts,EMP00012,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00012,,EMP00005,EMP00001,,Active
EMP00287,Nora Stewart,EMP00204,EMP00008,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00008,,EMP00005,EMP00001,,Active
EMP00288,Blake Edwards,EMP00246,EMP00009,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00289,Violet Nelson,EMP00013,EMP00002,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00013,EMP00002,EMP00002,EMP00001,,Active
EMP00290,Stella Turner,EMP00185,EMP00009,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00009,,EMP00003,EMP00001,,Terminated
EMP00291,Noah Sanchez,EMP00282,EMP00013,EMP00002,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00013,EMP00002,EMP00002,EMP00001,,Active
EMP00292,Morgan Martinez,EMP00246,EMP00009,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00009,,EMP00003,EMP00001,,Terminated
EMP00293,Jason Lopez,EMP00289,EMP00013,EMP00002,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00013,EMP00002,EMP00002,EMP00001,,Active
EMP00294,Hazel King,EMP00012,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00012,,EMP00005,EMP00001,,Active
EMP00295,Luna Thompson,EMP00250,EMP00013,EMP00002,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00013,EMP00002,EMP00002,EMP00001,,Active
EMP00296,Jake Rodriguez,EMP00056,EMP00009,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00009,,EMP00003,EMP00001,,Terminated
EMP00297,Michael Martinez,EMP00245,EMP00011,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00011,,EMP00001,EMP00001,,Active
EMP00298,Nora Walker,EMP00134,EMP00013,EMP00002,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00013,EMP00002,EMP00002,EMP00001,,Active
EMP00299,Reid Baker,EMP00014,EMP00003,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00014,,EMP00003,EMP00001,,Active
EMP00300,Nate Scott,EMP00014,EMP00003,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00014,,EMP00003,EMP00001,,Active
EMP00301,Rowan Baker,EMP00008,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00008,,EMP00005,EMP00001,,Active
EMP00302,Sarah Moore,EMP00056,EMP00009,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00303,Skyler Nelson,EMP00289,EMP00013,EMP00002,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00013,EMP00002,EMP00002,EMP00001,,Active
EMP00304,Sam Martinez,EMP00204,EMP00008,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00008,,EMP00005,EMP00001,,Active
EMP00305,Will Sanchez,EMP00060,EMP00010,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00010,,EMP00005,EMP00001,,Active
EMP00306,Kai Campbell,EMP00009,EMP00003,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00307,Nora Davis,EMP00047,EMP00014,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00014,,EMP00003,EMP00001,,Active
EMP00308,Avery Cook,EMP00251,EMP00009,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00309,Bryn Wright,EMP00012,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00012,,EMP00005,EMP00001,,Active
EMP00310,David Edwards,EMP00008,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00008,,EMP00005,EMP00001,,Active
EMP00311,Wren Lewis,EMP00013,EMP00002,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00013,EMP00002,EMP00002,EMP00001,,Active
EMP00312,June Allen,EMP00023,EMP00014,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00014,,EMP00003,EMP00001,,Active
EMP00313,Brian Ramirez,EMP00011,EMP00001,,,,,,Level 1,Level 2,,,,,,EMP00011,,EMP00001,EMP00001,,Terminated
EMP00314,Luna Gonzalez,EMP00112,EMP00012,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00012,,EMP00005,EMP00001,,Active
EMP00315,Nicole Morgan,EMP00171,EMP00008,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00008,,EMP00005,EMP00001,,Leave of Absence
EMP00316,Hazel Robinson,EMP00289,EMP00013,EMP00002,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00013,EMP00002,EMP00002,EMP00001,,Contractor
EMP00317,Miles Campbell,EMP00008,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00008,,EMP00005,EMP00001,,Active
EMP00318,Ivy Collins,EMP00088,EMP00013,EMP00002,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00013,EMP00002,EMP00002,EMP00001,,Active
EMP00319,Ezra Robinson,EMP00246,EMP00009,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00320,Miles Parker,EMP00185,EMP00009,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00009,,EMP00003,EMP00001,,Terminated
EMP00321,Amanda Perez,EMP00135,EMP00010,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00010,,EMP00005,EMP00001,,Active
EMP00322,Reid Mitchell,EMP00246,EMP00009,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00323,Violet Martinez,EMP00271,EMP00011,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00011,,EMP00001,EMP00001,,Terminated
EMP00324,Owen Hill,EMP00024,EMP00010,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00010,,EMP00005,EMP00001,,Terminated
EMP00325,Ben Robinson,EMP00047,EMP00014,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00014,,EMP00003,EMP00001,,Active
EMP00326,Brian Scott,EMP00271,EMP00011,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00011,,EMP00001,EMP00001,,Leave of Absence
EMP00327,Stephanie Smith,EMP00047,EMP00014,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00014,,EMP00003,EMP00001,,Active
EMP00328,Aria Johnson,EMP00060,EMP00010,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00010,,EMP00005,EMP00001,,Active
EMP00329,Cole Lee,EMP00215,EMP00009,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00330,Kai Campbell,EMP00306,EMP00009,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00331,Owen Baker,EMP00193,EMP00009,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00332,Taylor Edwards,EMP00056,EMP00009,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00333,Hannah Baker,EMP00134,EMP00013,EMP00002,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00013,EMP00002,EMP00002,EMP00001,,Active
EMP00334,Sam White,EMP00011,EMP00001,,,,,,Level 1,Level 2,,,,,,EMP00011,,EMP00001,EMP00001,,Active
EMP00335,Matt Smith,EMP00014,EMP00003,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00014,,EMP00003,EMP00001,,Active
EMP00336,Ezra Rogers,EMP00185,EMP00009,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00337,Aria Rodriguez,EMP00250,EMP00013,EMP00002,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00013,EMP00002,EMP00002,EMP00001,,Active
